Label,precision,recall,f1-score,support
advertisement,0.8148148148148148,0.6875,0.7457627118644068,32.0
chapter,0.7586206896551724,0.9850746268656716,0.8571428571428571,67.0
cover-image,0.8,1.0,0.8888888888888888,8.0
feedback,1.0,0.625,0.7692307692307693,8.0
imprint,1.0,1.0,1.0,18.0
introduction,0.5,0.23529411764705882,0.32,17.0
reading-sample,0.0,0.0,0.0,5.0
title-page,0.9583333333333334,0.92,0.9387755102040817,25.0
toc,1.0,1.0,1.0,17.0
accuracy,0.8274111675126904,0.8274111675126904,0.8274111675126904,0.8274111675126904
macro avg,0.7590854264225911,0.71698541605697,0.7244223041478892,197.0
weighted avg,0.8058882924583958,0.8274111675126904,0.8044026559811763,197.0
