Label,precision,recall,f1-score,support
advertisement,0.782608695652174,0.5625,0.6545454545454545,32.0
author_information,1.0,1.0,1.0,1.0
chapter,0.0,0.0,0.0,0.0
cover-image,0.875,0.875,0.875,8.0
feedback,1.0,0.625,0.7692307692307693,8.0
imprint,1.0,1.0,1.0,18.0
introduction,0.6666666666666666,0.11764705882352941,0.2,17.0
reader-information,1.0,0.5,0.6666666666666666,2.0
reading-sample,0.2857142857142857,0.4,0.3333333333333333,5.0
title-page,0.9615384615384616,1.0,0.9803921568627451,25.0
toc,1.0,0.8823529411764706,0.9375,17.0
unknown,0.0,0.0,0.0,0.0
accuracy,0.706766917293233,0.706766917293233,0.706766917293233,0.706766917293233
macro avg,0.7142940091309656,0.5802083333333333,0.6180556983865807,133.0
weighted avg,0.863487553091999,0.706766917293233,0.7514782302321001,133.0
