Label,precision,recall,f1-score,support
advertisement,0.9523809523809523,0.625,0.7547169811320755,32.0
author_information,1.0,1.0,1.0,1.0
chapter,0.0,0.0,0.0,0.0
cover-image,0.5333333333333333,1.0,0.6956521739130435,8.0
feedback,1.0,1.0,1.0,8.0
imprint,1.0,1.0,1.0,18.0
introduction,0.8181818181818182,0.5294117647058824,0.6428571428571429,17.0
reader-information,1.0,0.5,0.6666666666666666,2.0
reading-sample,0.2,0.6,0.3,5.0
title-page,0.9473684210526315,0.72,0.8181818181818182,25.0
toc,1.0,1.0,1.0,17.0
accuracy,0.7744360902255639,0.7744360902255639,0.7744360902255639,0.7744360902255639
macro avg,0.7682967749953398,0.724946524064171,0.7161886166137043,133.0
weighted avg,0.8972643502125099,0.7744360902255639,0.8115233910073758,133.0
