Label,precision,recall,f1-score,support
author-information,1.0,1.0,1.0,1.0
chapter,0.0,0.0,0.0,0.0
cover-image,0.6363636363636364,0.875,0.7368421052631579,8.0
feedback,1.0,0.5,0.6666666666666666,8.0
imprint,0.9473684210526315,1.0,0.972972972972973,18.0
reader-information,0.875,0.5,0.6363636363636364,56.0
title-page,0.6285714285714286,0.88,0.7333333333333333,25.0
toc,1.0,0.9411764705882353,0.9696969696969697,17.0
unknown,0.0,0.0,0.0,0.0
accuracy,0.7218045112781954,0.7218045112781954,0.7218045112781954,0.7218045112781954
macro avg,0.676367053998633,0.6329084967320262,0.635097298255193,133.0
weighted avg,0.848555085595054,0.7218045112781954,0.7533543544623876,133.0
