Label,precision,recall,f1-score,support
author-information,1.0,1.0,1.0,1.0
chapter,0.0,0.0,0.0,0.0
cover-image,0.8888888888888888,1.0,0.9411764705882353,8.0
feedback,1.0,0.5,0.6666666666666666,8.0
imprint,1.0,1.0,1.0,18.0
reader-information,0.9183673469387755,0.8035714285714286,0.8571428571428571,56.0
title-page,0.75,0.96,0.8421052631578947,25.0
toc,1.0,1.0,1.0,17.0
accuracy,0.8796992481203008,0.8796992481203008,0.8796992481203008,0.8796992481203008
macro avg,0.819657029478458,0.7829464285714286,0.7883864071944567,133.0
weighted avg,0.911952500298365,0.8796992481203008,0.8865817795262149,133.0
