Label,precision,recall,f1-score,support
author-information,1.0,1.0,1.0,1.0
chapter,0.9130434782608695,0.9402985074626866,0.9264705882352942,67.0
cover-image,0.26666666666666666,1.0,0.42105263157894735,8.0
feedback,1.0,1.0,1.0,8.0
imprint,1.0,1.0,1.0,18.0
reader-information,1.0,0.8545454545454545,0.9215686274509803,55.0
title-page,0.4444444444444444,0.15384615384615385,0.22857142857142856,26.0
toc,1.0,1.0,1.0,17.0
unknown,0.0,0.0,0.0,0.0
accuracy,0.83,0.83,0.83,0.83
macro avg,0.7360171765968868,0.772076679539366,0.7219625862040723,200.0
weighted avg,0.8693140096618357,0.83,0.8303554105852868,200.0
