Label,precision,recall,f1-score,support
advertisement,0.0,0.0,0.0,0.0
author-information,1.0,1.0,1.0,1.0
chapter,0.8904109589041096,0.9701492537313433,0.9285714285714286,67.0
cover-image,0.27586206896551724,1.0,0.43243243243243246,8.0
feedback,1.0,0.875,0.9333333333333333,8.0
imprint,1.0,1.0,1.0,18.0
reader-information,0.9555555555555556,0.7678571428571429,0.8514851485148515,56.0
title-page,0.5,0.16,0.24242424242424243,25.0
toc,1.0,1.0,1.0,17.0
unknown,0.0,0.0,0.0,0.0
accuracy,0.815,0.815,0.815,0.815
macro avg,0.6621828583425182,0.6773006396588486,0.6388246585276288,200.0
weighted avg,0.859377709547053,0.815,0.814420931089248,200.0
